,0,1,2,3,4
45,8656,Leisure Suit Larry 2: Goes Looking for Love (in Several Wrong Places),['Comedy'],64.3056696738815,https://images.igdb.com/igdb/image/upload/t_cover_big/co2kcf.jpg
46,4471,Super Thunder Blade,"['Action', 'Warfare']",46.2508754258898,https://images.igdb.com/igdb/image/upload/t_cover_big/co4t2m.jpg
47,4498,Space Harrier II,"['Action', 'Science fiction', '4X (explore, expand, exploit, and exterminate)']",69.65350725470489,https://images.igdb.com/igdb/image/upload/t_cover_big/co2gsm.jpg
48,3129,Gain Ground,"['Action', 'Fantasy', 'Science fiction']",70.2639077914248,https://images.igdb.com/igdb/image/upload/t_cover_big/co4ski.jpg
49,4481,Wonder Boy III: Monster Lair,"['Action', 'Fantasy']",70.416296482569,https://images.igdb.com/igdb/image/upload/t_cover_big/co52cx.jpg
50,6929,Splatterhouse,"['Action', 'Horror']",66.1708656838774,https://images.igdb.com/igdb/image/upload/t_cover_big/co2sun.jpg
51,3100,Wasteland,"['Science fiction', 'Survival']",89.3041267020792,https://images.igdb.com/igdb/image/upload/t_cover_big/co3wgc.jpg
52,6790,Double Dragon II: The Revenge,['Action'],79.3186380554056,https://images.igdb.com/igdb/image/upload/t_cover_big/co2gso.jpg
53,11687,Treasure Island Dizzy,"['Action', 'Fantasy', 'Comedy']",79.9694335324983,https://images.igdb.com/igdb/image/upload/t_cover_big/co3iq0.jpg
54,5565,Golden Axe,"['Action', 'Fantasy']",70.37851554544525,https://images.igdb.com/igdb/image/upload/t_cover_big/co25qt.jpg
55,3217,Alex Kidd In The Enchanted Castle,"['Action', 'Fantasy']",62.40164283624119,https://images.igdb.com/igdb/image/upload/t_cover_big/co288y.jpg
56,1232,Phantasy Star II,"['Action', 'Fantasy', 'Science fiction']",79.6363289608219,https://images.igdb.com/igdb/image/upload/t_cover_big/co4hht.jpg
57,248,Populous,"['Fantasy', 'Business']",68.02972901333389,https://images.igdb.com/igdb/image/upload/t_cover_big/co2jjf.jpg
58,186,Indiana Jones and the Last Crusade: The Graphic Adventure,"['Action', 'Fantasy', 'Historical', 'Comedy']",83.9072881251509,https://images.igdb.com/igdb/image/upload/t_cover_big/co3j1r.jpg
59,1272,SimCity,"['Business', 'Sandbox']",72.5464317730812,https://images.igdb.com/igdb/image/upload/t_cover_big/co1vwv.jpg
60,2908,Leisure Suit Larry III: Passionate Patti in Pursuit of the Pulsating Pectoral,"['Comedy', 'Erotic']",65.81487190533599,https://images.igdb.com/igdb/image/upload/t_cover_big/co2kcg.jpg
61,3327,The Revenge of Shinobi,['Action'],73.9905781199117,https://images.igdb.com/igdb/image/upload/t_cover_big/co30ih.jpg
62,396,The Final Fantasy Legend,['Fantasy'],63.7044964119882,https://images.igdb.com/igdb/image/upload/t_cover_big/co2rle.jpg
63,2461,Curse of the Azure Bonds,"['Fantasy', 'Historical']",80.24507953979659,https://images.igdb.com/igdb/image/upload/t_cover_big/co4i89.jpg
64,6876,Shadow Dancer,"['Action', 'Survival']",69.8746203299026,https://images.igdb.com/igdb/image/upload/t_cover_big/co5454.jpg
65,191,Loom,"['Fantasy', 'Historical']",88.510472430403,https://images.igdb.com/igdb/image/upload/t_cover_big/co2gjc.jpg
66,924,Wing Commander,"['Action', 'Science fiction']",81.4116395361981,https://images.igdb.com/igdb/image/upload/t_cover_big/co2khm.jpg
67,6077,1941: Counter Attack,"['Action', 'Fantasy', 'Science fiction', 'Historical', 'Warfare']",64.1705677248141,https://images.igdb.com/igdb/image/upload/t_cover_big/co2kqr.jpg
68,4446,Columns,"['Fantasy', 'Educational']",68.2637925785701,https://images.igdb.com/igdb/image/upload/t_cover_big/co2897.jpg
69,5353,Air Buster,"['Action', 'Science fiction']",69.8335624239622,https://images.igdb.com/igdb/image/upload/t_cover_big/co287t.jpg
70,3121,Crystalis,"['Action', 'Fantasy', 'Drama']",74.2368818866698,https://images.igdb.com/igdb/image/upload/t_cover_big/co4ek8.jpg
71,1231,Phantasy Star III: Generations of Doom,"['Fantasy', 'Science fiction']",77.0422163344993,https://images.igdb.com/igdb/image/upload/t_cover_big/co4ert.jpg
72,19109,Magician Lord,"['Action', 'Fantasy']",36.0649797952573,https://images.igdb.com/igdb/image/upload/t_cover_big/co47z6.jpg
73,6670,ESWAT: City Under Siege,"['Action', 'Science fiction']",72.0248659070124,https://images.igdb.com/igdb/image/upload/t_cover_big/co3kcl.jpg
74,4511,Bonanza Bros.,['Action'],62.1320734207864,https://images.igdb.com/igdb/image/upload/t_cover_big/co4sj4.jpg
75,4479,Snake Rattle 'n' Roll,['Action'],76.2577833000307,https://images.igdb.com/igdb/image/upload/t_cover_big/co2wgd.jpg
76,9154,Shadow of the Ninja,['Action'],79.9794995023215,https://images.igdb.com/igdb/image/upload/t_cover_big/co2t9u.jpg
77,6841,Raiden,"['Action', 'Science fiction']",79.33244093988901,https://images.igdb.com/igdb/image/upload/t_cover_big/co2fn3.jpg
78,2238,King's Quest V: Absence Makes the Heart Go Yonder!,"['Fantasy', 'Historical']",73.7085993666168,https://images.igdb.com/igdb/image/upload/t_cover_big/co28rv.jpg
79,15901,StarTropics,"['Action', 'Science fiction']",83.2350651206215,https://images.igdb.com/igdb/image/upload/t_cover_big/co2sur.jpg
80,3446,Bomberman,['Action'],50.2030603233345,https://images.igdb.com/igdb/image/upload/t_cover_big/co4o43.jpg
81,403,Final Fantasy Legend II,['Fantasy'],85.98336184242599,https://images.igdb.com/igdb/image/upload/t_cover_big/co2q5l.jpg
82,93840,Commander Keen Complete Pack,['Action'],79.9850431899897,https://images.igdb.com/igdb/image/upload/t_cover_big/co4wo2.jpg
83,6067,Decap Attack,"['Action', 'Horror', 'Comedy']",66.39749018282271,https://images.igdb.com/igdb/image/upload/t_cover_big/co3c4e.jpg
84,4254,Mad Dog McCree,['Action'],60.5113420030764,https://images.igdb.com/igdb/image/upload/t_cover_big/co1p5d.jpg
85,9969,Alien Storm,"['Action', 'Science fiction']",69.71854074413011,https://images.igdb.com/igdb/image/upload/t_cover_big/co2er6.jpg
86,9990,A-Train,['Business'],74.8372093023256,https://images.igdb.com/igdb/image/upload/t_cover_big/co50ag.jpg
87,10496,Wizardry: Bane of the Cosmic Forge,['Fantasy'],97.7365184652001,https://images.igdb.com/igdb/image/upload/t_cover_big/co285x.jpg
88,31,Space Quest IV: Roger Wilco And The Time Rippers,"['Science fiction', 'Comedy']",74.9683143219265,https://images.igdb.com/igdb/image/upload/t_cover_big/stxe2a6nj6oexs166pke.jpg
89,902,Sid Meier's Civilization,"['4X (explore, expand, exploit, and exterminate)']",93.38052244059699,https://images.igdb.com/igdb/image/upload/t_cover_big/co1y9x.jpg
90,940,Wing Commander II: Vengeance of the Kilrathi,"['Action', 'Science fiction']",75.4532851011359,https://images.igdb.com/igdb/image/upload/t_cover_big/co2kka.jpg
91,5433,Sengoku,['Action'],65.72415354134105,https://images.igdb.com/igdb/image/upload/t_cover_big/co1w4x.jpg
92,71128,Fatal Fury,['Action'],62.6294091243029,https://images.igdb.com/igdb/image/upload/t_cover_big/co237q.jpg
93,6800,King of the Monsters,"['Action', 'Science fiction']",68.9403277293181,https://images.igdb.com/igdb/image/upload/t_cover_big/co26nd.jpg
94,3186,Street Fighter II,"['Action', 'Science fiction']",82.44372613852329,https://images.igdb.com/igdb/image/upload/t_cover_big/co55et.jpg
